etid,status
1440,1
1441,0
1442,1
1444,1
1447,1
1449,1
26370,1
1450,0
1451,1
1453,1
1454,1
1457,1
1459,0
1461,0
1462,0
1463,0
1464,0
1465,0
6128,0
1466,0
1468,0
1469,1
1471,0
1473,0
1474,0
1476,0
1477,0
1478,0
1483,0
1485,0
1489,1
1498,1
1499,1
369261,1
1509,0
11563,1
1501,0
1502,1
1504,1
4458,1
392881,1
486577,6
1505,1
1507,1
1510,1
1526,0
1528,1
1543,1
1550,1
1552,0
1555,0
1588,1
4839,1
1602,1
1604,1
1609,1
1634,0
51000,0
181871,0
1637,0
1642,0
1645,0
1654,0
1656,1
1659,0
1663,0
1664,1
1678,1
1690,0
1697,0
1698,1
1701,0
1707,0
1749,1
1750,1
1751,0
1753,1
1758,0
420986,0
459566,2
1766,1
1879,1
1936,1
2048,0
1883,1
3271,0
877,0
1368,0
921,0
925,0
1430,0
1271,1
1407,0
313186,0
67633,1
244521,0
4608,0
73781,1
6224,1
39115,1
355216,2
5609,0
400,0
242006,0
243171,1
473,0
173941,1
2986,1
408271,1
1093,0
1137,0
1211,1
1281,0
1296,0
1299,1
236456,1
1353,0
1357,0
1358,0
1380,1
1408,1
1409,1
1412,1
1623,0
1886,1
1434,0
1467,0
2758,0
1479,0
1480,0
1481,1
1482,0
2029,0
340566,0
417796,0
487857,8
1484,0
6642,0
1491,0
1492,1
6099,1
1503,1
2231,0
1508,0
1427,1
2532,1
1515,0
1516,0
1517,0
2209,0
2153,1
1522,0
1669,0
1531,1
1532,0
2536,1
332051,1
325856,2
166131,1
1823,0
39116,0
2647,0
289876,0
301041,0
405281,0
478406,0
2084,1
2200,1
41906,1
396711,1
396716,1
396721,1
474756,6
482741,6
1534,0
1544,0
2649,0
1551,0
1545,1
1546,0
1560,1
187061,1
389446,4
1570,0
1583,0
1589,0
1538,0
1590,0
1592,0
2042,1
1593,0
1596,1
1599,1
1580,1
1562,0
197551,0
1796,0
1563,0
1616,0
1618,0
1621,1
473971,6
1615,0
1591,0
1635,1
1636,1
1610,0
1585,0
1584,0
1587,0
1625,0
1650,0
1595,0
1594,0
1660,1
1630,1
1632,1
4108,0
1987,1
1667,0
1652,1
1648,0
1675,0
1685,0
283536,1
1689,1
1673,0
1672,0
1613,0
1693,1
1666,0
1699,1
1624,0
1702,0
1704,0
1668,0
228086,0
244261,0
302306,0
373041,0
373046,0
373196,0
373201,0
386376,0
386381,0
386386,0
386391,0
386396,0
1683,0
1716,1
1511,0
1733,1
1735,1
400321,1
1679,0
1734,1
1737,0
1738,0
1739,0
477936,1
493096,6
1629,1
1746,1
1748,0
1718,1
1537,0
1661,1
1647,0
1759,0
1708,1
1769,0
1730,1
1785,0
1790,0
1791,0
1798,1
1805,1
1773,0
1807,0
1794,1
1506,1
1726,1
1530,0
1815,1
2595,0
922,0
1818,1
28242,1
1826,0
1827,1
1808,0
490232,0
1830,1
1839,0
1840,0
1845,1
1838,1
1710,0
1709,0
1755,0
1762,0
2158,1
1837,1
332781,1
1817,0
1781,1
1727,1
1761,0
1813,1
1792,1
463651,1
1772,1
475736,1
1868,1
1870,0
1874,0
1844,1
1959,0
1806,1
2018,0
1882,0
338661,1
1728,0
1887,0
1871,1
1864,1
1715,0
1890,0
14275,0
393341,1
393346,1
416451,1
417031,1
1891,1
1888,1
1620,1
1901,0
1873,1
1780,0
1905,0
1938,1
1918,1
2058,0
177736,1
361886,1
1924,1
1925,1
1926,1
1927,1
210591,1
2041,0
2146,0
1917,1
483566,6
476236,8
1878,0
1877,0
1919,1
1911,1
11867,1
44669,1
1742,0
1930,1
1928,1
1915,0
1967,0
1968,0
1969,1
34331,1
47718,1
1949,0
1828,0
1934,0
1846,1
4527,1
2521,1
1974,1
1983,1
1993,1
1995,1
2212,0
2000,1
2001,1
2138,0
2180,1
1929,1
28987,1
2004,0
2006,1
1955,0
1970,1
175591,1
379506,0
1961,1
394446,1
1607,1
73057,1
1986,0
1801,0
1941,1
419186,4
2016,1
489032,3
1958,0
3757,1
2025,0
2024,0
2301,1
3548,1
2700,1
2028,1
2031,1
2032,1
47159,1
417986,1
2033,0
2137,1
1992,0
2304,1
2051,0
2009,0
2067,1
2013,0
2034,1
2243,1
2059,0
2079,1
2070,0
2072,1
2073,1
2075,0
2060,0
2037,0
2083,1
2309,0
9087,1
147921,1
2085,0
2882,0
3109,1
296026,1
1720,1
2092,1
2190,0
1833,1
2023,0
2094,0
2096,1
2109,1
2039,1
299571,1
1226,1
14733,1
2055,1
2417,0
1999,0
2046,0
2076,1
2090,1
2050,0
2091,0
2057,0
2088,1
2095,1
2222,0
2114,0
2118,1
2116,0
